id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1625799129292214272,1625799129292214272,2023-02-15 15:38:12 India Standard Time,2023-02-15,15:38:12,+0530,1281630717923913729,mandanna_fans,Rashmika._.mandannaa bloods,,50 Days For @iamRashmika Birthday 💃 #RashmikaMandanna  https://t.co/WOrBE5lxp6,en,"[{'screen_name': 'iamrashmika', 'name': 'rashmika mandanna', 'id': '722067485613277186'}]",[],['https://pbs.twimg.com/media/Fo__rHDaAAQtRQN.jpg'],0,0,0,['rashmikamandanna'],[],https://twitter.com/mandanna_fans/status/1625799129292214272,False,,1,https://pbs.twimg.com/media/Fo__rHDaAAQtRQN.jpg,,,,,,,[],,,,
1625797907759894530,1625797907759894530,2023-02-15 15:33:21 India Standard Time,2023-02-15,15:33:21,+0530,1607979194205757440,sri7thalapathy,Sriram .R,,@iamRashmika mam hoping for my wish and reply  #RashmikaMandanna,en,[],[],[],0,0,0,['rashmikamandanna'],[],https://twitter.com/Sri7thalapathy/status/1625797907759894530,False,,0,,,,,,,,[],,,,
1625797783323115520,1625795836356747265,2023-02-15 15:32:52 India Standard Time,2023-02-15,15:32:52,+0530,1607979194205757440,sri7thalapathy,Sriram .R,,@iamRashmika pls mam hoping for your reply  #RashmikaMandanna,en,[],[],[],0,0,0,['rashmikamandanna'],[],https://twitter.com/Sri7thalapathy/status/1625797783323115520,False,,0,,,,,,,,"[{'screen_name': 'iamRashmika', 'name': 'Rashmika Mandanna', 'id': '722067485613277186'}]",,,,
1625797083650473985,1625797083650473985,2023-02-15 15:30:05 India Standard Time,2023-02-15,15:30:05,+0530,1601113192263843841,smitachauhan22,Smita Chauhan,,RCB appoint Sania Mirza as mentor for women's team ahead of WPL 2023 #itfc #SuperBowl #TejRan #ChampionsLeague #ChetanSharma #insideourautisticminds #BabarAzam𓃵 #RashmikaMandanna #ViratKohli𓃵 #PriyankaChopra #Quantumania  https://t.co/l0w75nJmmZ,en,[],[],['https://pbs.twimg.com/media/Fo_90maaEAEVafD.jpg'],0,0,3,"['itfc', 'superbowl', 'tejran', 'championsleague', 'chetansharma', 'insideourautisticminds', 'babarazam𓃵', 'rashmikamandanna', 'viratkohli𓃵', 'priyankachopra', 'quantumania']",[],https://twitter.com/SmitaChauhan22/status/1625797083650473985,False,,1,https://pbs.twimg.com/media/Fo_90maaEAEVafD.jpg,,,,,,,[],,,,
1625796990641803265,1625796990641803265,2023-02-15 15:29:43 India Standard Time,2023-02-15,15:29:43,+0530,1608033253239459840,anuptkumar786,Anup Tiwari,,"Top Online BSc Colleges In India  Procedure  For more datils:-   https://t.co/sfCSIOQ3P9 #TopOnlineBScCollegesInIndia, #PriyankaChopra #MercedesAMGF1 #KareenaKapoor #RashmikaMandanna #GodavariExpress #KLRahul #ChetanSharmaSting #NatasaStankovic #ViratKohli𓃵  https://t.co/NVqIyoEkkM",en,[],['https://www.umeacademy.com/latest-articles/top-10-online-bsc-colleges-in-india/'],['https://pbs.twimg.com/media/Fo_9htjaUAAjZJn.jpg'],0,0,2,"['toponlinebsccollegesinindia', 'priyankachopra', 'mercedesamgf1', 'kareenakapoor', 'rashmikamandanna', 'godavariexpress', 'klrahul', 'chetansharmasting', 'natasastankovic', 'viratkohli𓃵']",[],https://twitter.com/anuptkumar786/status/1625796990641803265,False,,1,https://pbs.twimg.com/media/Fo_9htjaUAAjZJn.jpg,,,,,,,[],,,,
1625796865336954880,1625796865336954880,2023-02-15 15:29:13 India Standard Time,2023-02-15,15:29:13,+0530,1554528613633908737,thestockblog15,THE STOCK BLOG,,🫶❤️🫶 Blessing your timeline with pure happiness   @iamRashmika ❤❤️ #RashmikaMandanna #LoveYouRashmika  https://t.co/VFb4zlY9Q1,en,"[{'screen_name': 'iamrashmika', 'name': 'rashmika mandanna', 'id': '722067485613277186'}]",[],['https://pbs.twimg.com/media/Fo_9oaragAAoyBA.jpg'],0,1,1,"['rashmikamandanna', 'loveyourashmika']",[],https://twitter.com/THESTOCKBLOG15/status/1625796865336954880,False,,1,https://pbs.twimg.com/media/Fo_9oaragAAoyBA.jpg,,,,,,,[],,,,
1625793950442459137,1625793950442459137,2023-02-15 15:17:38 India Standard Time,2023-02-15,15:17:38,+0530,740477653040410624,abhishek_pudke,Abhishek Pudke,,#RashmikaMandanna @iamRashmika  https://t.co/N4oIIwy9uB,qme,"[{'screen_name': 'iamrashmika', 'name': 'rashmika mandanna', 'id': '722067485613277186'}]",[],['https://pbs.twimg.com/media/Fo_6-aWaIAMtDHP.jpg'],0,0,0,['rashmikamandanna'],[],https://twitter.com/abhishek_pudke/status/1625793950442459137,False,,1,https://pbs.twimg.com/media/Fo_6-aWaIAMtDHP.jpg,,,,,,,[],,,,
1625793777863643136,1625793777863643136,2023-02-15 15:16:57 India Standard Time,2023-02-15,15:16:57,+0530,803274189993963520,rash_nisha,Rashmika Bengali Fc,,"She have special power of fans   She have a good nature  She have best supporter who supported her care for her 🥰  Everyone love her bcz she deserves it 🤍  She also care for us , love us🥰  If @iamRashmika lucky we are lucky also bcz we have  #rashmikamandanna 😌 #Varisu  https://t.co/beaXz9prx8",en,"[{'screen_name': 'iamrashmika', 'name': 'rashmika mandanna', 'id': '722067485613277186'}]",[],['https://pbs.twimg.com/media/Fo_6gl7aYAYWC8y.jpg'],0,0,2,"['rashmikamandanna', 'varisu']",[],https://twitter.com/rash_nisha/status/1625793777863643136,False,,1,https://pbs.twimg.com/media/Fo_6gl7aYAYWC8y.jpg,,,,,,,[],,,,
1625792995944701952,1625792995944701952,2023-02-15 15:13:50 India Standard Time,2023-02-15,15:13:50,+0530,1554528613633908737,thestockblog15,THE STOCK BLOG,,😘 @iamRashmika #RashmikaMandanna #LoveYouRashmika ❤️🫶  https://t.co/3rsz0GN3v4,und,"[{'screen_name': 'iamrashmika', 'name': 'rashmika mandanna', 'id': '722067485613277186'}]",[],['https://pbs.twimg.com/media/Fo_6Gx6agAIL-jV.jpg'],0,0,0,"['rashmikamandanna', 'loveyourashmika']",[],https://twitter.com/THESTOCKBLOG15/status/1625792995944701952,False,,1,https://pbs.twimg.com/media/Fo_6Gx6agAIL-jV.jpg,,,,,,,[],,,,
1625792861370466306,1625792861370466306,2023-02-15 15:13:18 India Standard Time,2023-02-15,15:13:18,+0530,1625759786330619904,mishrajideepak,Deepak Mishra,,"@shreyastalpade1 ने पहुँचाया हिन्दू धार्मिक भावनाओं को ठेस, मांगनी पड़ी माफी #ShreyasTalpade #RashmikaMandanna #MeeraJasmine #ViratKohli  https://t.co/Tqfbo4856R",hi,[],['https://stackumbrella.in/shreyas-talpade-hurt-the-statement-of-hindu-and/'],[],0,0,0,"['shreyastalpade', 'rashmikamandanna', 'meerajasmine', 'viratkohli']",[],https://twitter.com/MishrajiDeepak/status/1625792861370466306,False,,0,,,,,,,,[],,,,
